a	a	Gender=Masc|Number=Sing
aba	aba	Gender=Fem|Number=Sing
abacado	abacado	Gender=Masc|Number=Sing
abacados	abacado	Gender=Masc|Number=Plur
abacate	abacate	Gender=Masc|Number=Sing
abacateiro	abacateiro	Gender=Masc|Number=Sing
abacateiros	abacateiro	Gender=Masc|Number=Plur
abacates	abacate	Gender=Masc|Number=Plur
abacaxi	abacaxi	Gender=Masc|Number=Sing
abacaxis	abacaxi	Gender=Masc|Number=Plur
abacaxizeiro	abacaxizeiro	Gender=Masc|Number=Sing
abacaxizeiros	abacaxizeiro	Gender=Masc|Number=Plur
abacisco	abacisco	Gender=Masc|Number=Sing
abaciscos	abacisco	Gender=Masc|Number=Plur
abacá	abacá	Gender=Masc|Number=Sing
abacás	abacá	Gender=Masc|Number=Plur
abada	abada	Gender=Fem|Number=Sing
abadas	abada	Gender=Fem|Number=Plur
abade	abade	Gender=Masc|Number=Sing
abadenga	abadengo	Gender=Fem|Number=Sing
abadengas	abadengo	Gender=Fem|Number=Plur
abadengo	abadengo	Gender=Masc|Number=Sing
abadengos	abadengo	Gender=Masc|Number=Plur
abaderna	abaderna	Gender=Fem|Number=Sing
abadernas	abaderna	Gender=Fem|Number=Plur
abades	abade	Gender=Masc|Number=Plur
abadessa	abade	Gender=Fem|Number=Sing
abadessas	abade	Gender=Fem|Number=Plur
abadia	abadia	Gender=Fem|Number=Sing
abadias	abadia	Gender=Fem|Number=Plur
abafadela	abafadela	Gender=Fem|Number=Sing
abafadelas	abafadela	Gender=Fem|Number=Plur
abafador	abafador	Gender=Masc|Number=Sing
abafadora	abafador	Gender=Fem|Number=Sing
abafadoras	abafador	Gender=Fem|Number=Plur
abafadores	abafador	Gender=Masc|Number=Plur
abafadouro	abafadouro	Gender=Masc|Number=Sing
abafadouros	abafadouro	Gender=Masc|Number=Plur
abafadura	abafadura	Gender=Fem|Number=Sing
abafaduras	abafadura	Gender=Fem|Number=Plur
abafamento	abafamento	Gender=Masc|Number=Sing
abafamentos	abafamento	Gender=Masc|Number=Plur
abafar	abafar	Gender=Masc|Number=Sing
abafação	abafação	Gender=Fem|Number=Sing
abafações	abafação	Gender=Fem|Number=Plur
abaianada	abaianado	Gender=Fem|Number=Sing
abaianadas	abaianado	Gender=Fem|Number=Plur
abaianado	abaianado	Gender=Masc|Number=Sing
abaianados	abaianado	Gender=Masc|Number=Plur
abairramento	abairramento	Gender=Masc|Number=Sing
abairramentos	abairramento	Gender=Masc|Number=Plur
abaixadela	abaixadela	Gender=Fem|Number=Sing
abaixadelas	abaixadela	Gender=Fem|Number=Plur
abaixador	abaixador	Gender=Masc|Number=Sing
abaixadora	abaixador	Gender=Fem|Number=Sing
abaixadoras	abaixador	Gender=Fem|Number=Plur
abaixadores	abaixador	Gender=Masc|Number=Plur
abaixamento	abaixamento	Gender=Masc|Number=Sing
abaixamentos	abaixamento	Gender=Masc|Number=Plur
abajur	abajur	Gender=Masc|Number=Sing
abajures	abajur	Gender=Masc|Number=Plur
abalada	abalado	Gender=Fem|Number=Sing
abaladas	abalado	Gender=Fem|Number=Plur
abalado	abalado	Gender=Masc|Number=Sing
abalados	abalado	Gender=Masc|Number=Plur
abaladura	abaladura	Gender=Fem|Number=Sing
abaladuras	abaladura	Gender=Fem|Number=Plur
abalamento	abalamento	Gender=Masc|Number=Sing
abalamentos	abalamento	Gender=Masc|Number=Plur
abalançamento	abalançamento	Gender=Masc|Number=Sing
abalançamentos	abalançamento	Gender=Masc|Number=Plur
abalaustramento	abalaustramento	Gender=Masc|Number=Sing
abalaustramentos	abalaustramento	Gender=Masc|Number=Plur
abalizador	abalizador	Gender=Masc|Number=Sing
abalizadora	abalizador	Gender=Fem|Number=Sing
abalizadoras	abalizador	Gender=Fem|Number=Plur
abalizadores	abalizador	Gender=Masc|Number=Plur
abalizamento	abalizamento	Gender=Masc|Number=Sing
abalizamentos	abalizamento	Gender=Masc|Number=Plur
abalo	abalo	Gender=Masc|Number=Sing
abaloamento	abaloamento	Gender=Masc|Number=Sing
abaloamentos	abaloamento	Gender=Masc|Number=Plur
abalos	abalo	Gender=Masc|Number=Plur
abalroadela	abalroadela	Gender=Fem|Number=Sing
abalroadelas	abalroadela	Gender=Fem|Number=Plur
abalroamento	abalroamento	Gender=Masc|Number=Sing
abalroamentos	abalroamento	Gender=Masc|Number=Plur
abalroação	abalroação	Gender=Fem|Number=Sing
abalroações	abalroação	Gender=Fem|Number=Plur
abampere	abampere	Gender=Masc|Number=Sing
abamperes	abampere	Gender=Masc|Number=Plur
abanadela	abanadela	Gender=Fem|Number=Sing
abanadelas	abanadela	Gender=Fem|Number=Plur
abanador	abanador	Gender=Masc|Number=Sing
abanadora	abanador	Gender=Fem|Number=Sing
abanadoras	abanador	Gender=Fem|Number=Plur
abanadores	abanador	Gender=Masc|Number=Plur
abanadura	abanadura	Gender=Fem|Number=Sing
abanaduras	abanadura	Gender=Fem|Number=Plur
abanamento	abanamento	Gender=Masc|Number=Sing
abanamentos	abanamento	Gender=Masc|Number=Plur
abanação	abanação	Gender=Fem|Number=Sing
abanações	abanação	Gender=Fem|Number=Plur
abandalhamento	abandalhamento	Gender=Masc|Number=Sing
abandalhamentos	abandalhamento	Gender=Masc|Number=Plur
abandalhação	abandalhação	Gender=Fem|Number=Sing
abandalhações	abandalhação	Gender=Fem|Number=Plur
